#KategorieID;Name;Tag;Beschreibung
1f372f0f-7661-4085-88db-048e543ad777;Sonstige Rezepte;Sonstiges;Sonstige Rezepte
aa88d2f2-fb44-4604-80f1-b759ca62e0fc;Sushi;su;lecker
0da25ac7-d809-4de6-9388-3b9747ebca30;Desserts;Desserts;Süße Sachen
e12757b3-4ae9-4546-8837-d98e64d9aa4b;Günstige Gerichte;Günstig;Rezepte für Günstige Gerichte
f4bc1ae8-9eb8-4156-b7b9-8868d474c94e;Asiatische Gerichte;Asiatisch;Rezepte für Asiatische Gerichte
1521a0df-127d-4e15-b84f-0acb9053b596;Salate;Salat;Rezepte für Salate
9f236079-4dbd-4fc4-bde3-934e5d483e1e;Schnelle Gerichte;Schnell;Rezepte für Schnelle Gerichte
9ca185aa-b4bc-45c8-a309-a52145ee6be3;Fleischgerichte;Fleisch;Rezepte für Fleischgerichte
7b5e00dc-d06e-4312-aeba-2a08ecad410c;Kartoffelgerichte;Kartoffeln;Rezepte für Kartoffelgerichte
388e4475-3851-4fb7-a60e-ef376ca28668;Süßspeisen;Süßes;Rezepte für süße Speisen
9d5834d8-8d28-41f3-80dc-b7646718984a;Nudelgerichte;Nudeln;Rezepte für Nudelgrichte
90e44a63-cccf-4e0a-9c85-a07c959d5b94;Suppen;Suppen;Rezepte für Suppen
a558b4c1-1978-4095-9322-945c799a10a4;Reisgerichte;Reis;Rezepte für Reisgerichte
6e90ad6e-02be-4d3d-96fe-16cbaf295e96;Aufläufe;Auflauf;Rezepte für Aufläufe
a01b3de9-31b0-4e07-a9fb-91cc1f4f5a02;Brotspeisen;Brot;Variationen mit Brot
